38	308
36	631
45	1108
54	1606
71	2034
92	2351
109	2520
132	2640
165	2644
184	2588
216	2467
226	2362
241	2225
231	2120
236	1989
237	1886
240	1745
236	1655
215	1533
201	1474
198	1382
188	1351
183	1274
161	1273
166	1234
165	1250
180	1216
178	1208
194	1154
194	1133
204	1079
201	1059
207	1006
205	998
211	945
205	945
204	881
193	879
195	830
194	842
183	804
146	838
144	837
141	880
147	891
149	935
157	937
165	968
174	947
177	956
176	912
179	932
174	881
151	930
148	919
145	981
151	975
135	1040
140	1061
142	1124
151	1162
147	1229
154	1275
153	1309
167	1360
175	1380
177	1431
194	1449
202	1479
206	1491
175	1517
167	1586
164	1646
162	1701
171	1734
177	1768
198	1780
203	1790
215	1798
208	1810
219	1813
216	1808
237	1817
247	1777
265	1776
298	1708
292	1662
289	1603
286	1541
291	1516
282	1449
263	1425
275	1376
263	1356
282	1297
281	1259
290	1221
292	1186
269	1147
247	1138
245	1137
249	1126
249	1137
260	1122
275	1102
293	1092
280	1072
280	1082
256	1069
264	1087
282	1076
280	1090
294	1088
302	1112
286	1113
281	1149
285	1160
308	1191
317	1166
318	1168
329	1142
338	1122
339	1065
346	1045
320	980
284	1014
285	1002
274	1011
306	990
314	948
316	924
318	898
307	904
299	893
287	922
304	948
303	935
294	942
306	908
306	890
288	865
275	880
271	872
250	899
259	909
257	924
277	951
289	937
300	954
304	953
289	983
274	955
277	998
290	974
284	1025
306	999
311	1049
336	1023
323	1064
325	1028
317	1007
317	958
304	940
304	897
304	912
311	877
311	913
311	899
302	957
280	927
257	978
275	952
292	997
318	958
318	997
331	978
309	1014
299	1000
305	982
308	959
316	949
324	921
318	916
304	917
301	924
304	948
305	968
294	957
300	950
301	932
309	939
316	922
324	935
322	930
316	949
295	953
278	959
276	988
288	997
296	999
308	1003
318	1001
329	1017
306	1016
307	1037
297	986
303	992
303	949
306	983
317	953
321	993
328	975
330	1013
308	978
307	966
311	941
320	926
328	888
325	882
335	863
322	867
300	881
295	887
277	857
283	878
287	870
276	907
301	915
306	948
316	953
311	963
291	958
312	930
313	928
318	911
311	897
316	878
328	875
324	859
297	881
296	868
277	852
271	872
261	893
272	941
301	957
312	976
324	965
316	970
302	967
321	934
321	918
320	895
322	865
315	858
320	855
326	851
294	865
297	861
292	844
280	863
268	883
269	934
296	958
303	979
332	976
336	966
317	948
329	904
322	903
317	879
309	885
319	875
318	871
324	849
293	838
300	837
288	825
275	858
265	881
267	932
286	965
292	998
304	1022
322	1033
311	1024
336	1003
342	982
350	953
343	918
323	892
322	873
318	853
280	857
288	868
282	861
266	900
256	924
264	984
280	1018
286	1053
308	1073
333	1072
314	1055
325	1041
332	1021
341	997
352	964
341	929
341	910
346	861
298	860
288	840
277	859
286	881
272	914
287	958
310	994
314	986
319	1008
333	987
310	973
332	923
343	909
351	862
333	868
303	846
305	862
305	834
292	860
292	842
269	864
270	896
259	921
267	978
289	1002
298	1017
315	1016
318	1001
308	979
329	924
332	919
329	879
312	887
315	852
305	859
310	829
271	856
280	854
268	865
279	894
281	908
302	955
294	974
284	1002
298	1001
310	990
310	949
331	902
335	882
315	857
289	884
286	900
280	904
280	906
272	935
285	947
275	960
290	990
298	1003
316	1025
319	1013
315	1008
325	988
339	933
344	890
359	807
337	800
306	771
280	812
279	828
269	841
274	840
271	874
283	884
274	909
274	948
282	988
306	1019
306	1026
301	1028
314	1023
330	977
328	939
347	871
336	858
306	839
280	873
279	899
270	903
275	912
272	936
283	955
280	960
289	995
303	1005
319	1025
319	1013
315	1008
325	988
339	933
344	890
359	807
337	800
306	771
280	812
279	828
269	841
274	840
271	874
283	884
274	909
274	948
282	988
306	1019
306	1026
301	1028
314	1023
330	977
328	939
347	871
336	858
306	839
280	873
279	899
270	903
275	912
272	936
283	955
280	960
289	995
303	1005
319	1025
319	1013
315	1008
325	988
339	933
344	890
359	807
337	800
306	771
280	812
279	828
269	841
274	840
271	874
283	884
274	909
274	948
282	988
306	1019
306	1026
301	1028
314	1023
330	977
328	939
347	871
336	858
306	839
280	873
279	899
270	903
275	912
272	936
283	955
280	960
289	995
303	1005
319	1025
319	1013
315	1008
325	988
339	933
344	890
359	807
337	800
306	771
280	812
279	828
269	841
274	840
271	874
283	884
274	909
274	948
282	988
306	1019
306	1026
301	1028
314	1023
330	977
328	939
347	871
336	858
306	839
280	873
279	899
270	903
275	912
272	936
283	955
280	960
289	995
303	1005
319	1025
319	1013
315	1008
325	988
339	933
344	890
359	807
337	800
306	771
280	812
279	828
269	841
274	840
271	874
283	884
274	909
274	948
282	988
306	1019
306	1026
301	1028
314	1023
330	977
328	939
347	871
336	858
306	839
280	873
279	899
270	903
275	912
272	936
283	955
280	960
289	995
303	1005
319	1025
319	1013
315	1008
325	988
339	933
344	890
359	807
337	800
306	771
280	812
279	828
269	841
274	840
271	874
283	884
274	909
274	948
